trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.1, 'e': 2.8500000000000076}",20,0,-117.99978096161497,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 2.800000000000008}",30,0,-158.57232623204402,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 2.750000000000008}",30,0,-146.5562662934101,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
46,False,"{'a': 0.1, 'e': 2.700000000000008}",20,14,-7.2733117001889385,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 2.6500000000000083}",20,0,-110.56990320954458,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.1, 'e': 2.6000000000000085}",20,0,-11.358476241403789,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.1, 'e': 2.5500000000000087}",20,0,-62.14693638126072,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 2.500000000000009}",25,0,-116.38013420073511,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 2.450000000000009}",25,0,-75.4850965636811,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
52,False,"{'a': 0.1, 'e': 2.4000000000000092}",25,0,-44.90733528435335,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.1, 'e': 2.3500000000000094}",20,0,-151.5804728972947,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
54,False,"{'a': 0.1, 'e': 2.3000000000000096}",20,0,-109.74095900463378,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.1, 'e': 2.2500000000000098}",35,0,-248.79859022979463,"{0: 19, 1: 3, 2: 9, 3: 0, 4: 4}",0
56,False,"{'a': 0.1, 'e': 2.20000000000001}",20,0,-161.91544081971628,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.1, 'e': 2.15000000000001}",20,0,-67.93860868287389,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 2.1000000000000103}",35,0,-173.58082535569594,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
59,False,"{'a': 0.1, 'e': 2.0500000000000105}",35,0,-65.03711153873394,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 2.0000000000000107}",25,0,-116.3455866118793,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.1, 'e': 1.9500000000000106}",30,0,-107.379303334235,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
62,False,"{'a': 0.1, 'e': 1.9000000000000106}",35,0,-171.6652329150085,"{0: 18, 1: 7, 2: 8, 3: 0, 4: 2}",0
63,False,"{'a': 0.1, 'e': 1.8500000000000105}",20,0,-100.79639899900138,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.1, 'e': 1.8000000000000105}",25,0,-39.163745644138366,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.1, 'e': 1.7500000000000104}",20,0,-55.92844031151156,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.1, 'e': 1.7000000000000104}",35,0,-227.8758600577472,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 5}",0
67,False,"{'a': 0.1, 'e': 1.6500000000000103}",20,0,-93.47236684731978,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.1, 'e': 1.6000000000000103}",25,0,-163.03558619022837,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.1, 'e': 1.5500000000000103}",25,0,-28.365456614666986,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 1.5000000000000102}",25,0,-143.8327139634177,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
71,False,"{'a': 0.1, 'e': 1.4500000000000102}",25,0,-61.48281035800342,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 1.4000000000000101}",25,1,-19.965260009817644,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.1, 'e': 1.35000000000001}",20,0,-127.7693720491114,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.1, 'e': 1.30000000000001}",25,0,-104.69141028413028,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
75,False,"{'a': 0.1, 'e': 1.25000000000001}",20,0,-86.75924639174224,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
